"","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
0,"Afghanistan",1908.0,2011.0,2318,2386,2516,2535,2401,2516,2450,2543
1,"Albania",9726.0,10208.0,10526,10571,11259,11662,12078,13040,13895,14448
2,"Algeria",13097.0,13480.0,13264,13003,12940,11945,11543,11644,11822,11917
3,"Andorra",50888.0,52326.0,51193,50930,52686,52748,55695,56352,57551,58708
4,"Angola",6687.0,6857.0,7624,7948,8508,7669,7449,7676,7524,7383
5,"Antigua and Barbuda",21444.0,21224.0,20414,19532,19714,19498,20431,20231,21807,22929
6,"Argentina",18064.0,19322.0,19641,20132,19684,20105,20308,23597,23291,23003
7,"Armenia",7282.0,7778.0,9094,9564,9792,9753,10502,11974,12946,14213
8,"Aruba",33713.0,35248.0,33967,35954,35736,36078,36250,37690,40555,41435
9,"Australia",41727.0,43118.0,42903,46522,46988,46342,48053,49657,51446,52618
10,"Austria",42466.0,44469.0,46478,47937,48814,49955,52660,54394,56637,58680
11,"Azerbaijan",15022.0,14905.0,16063,17300,17551,15026,14448,14185,14610,15113
12,"Bahamas",31673.0,32170.0,33252,32836,34314,34785,34775,36815,37961,38938
13,"Bahrain",47117.0,50673.0,54489,54035,51938,45627,44834,47486,49581,52234
14,"Bangladesh",3144.0,3378.0,3759,3993,4293,4564,4887,5227,5699,6061
15,"Barbados",16278.0,16444.0,15425,15433,15252,15571,15997,15818,16060,16096
16,"Belarus",15355.0,16545.0,18097,18997,19017,18111,17787,18335,19407,20080
17,"Belgium",40162.0,41082.0,42409,43755,45043,46365,48680,50727,52678,54481
18,"Belize",9557.0,9491.0,9004,9207,9080,9055,8784,8487,8544,8812
19,"Benin",2364.0,2416.0,2498,2670,2833,2887,3005,3045,3235,3422
20,"Bhutan",6268.0,6943.0,7600,7894,8382,9239,10068,10852,11476,12148
21,"Bolivia",5177.0,5473.0,5937,6645,7081,7160,7528,8456,8896,9127
22,"Bosnia and Herzegovina",9566.0,9971.0,10292,11038,11268,11710,12604,13240,14096,14775
23,"Botswana",13047.0,14029.0,13144,14086,15518,14588,16639,15965,16661,17097
24,"Brazil",14361.0,15110.0,15120,15669,15800,14816,14326,14597,15089,15424
25,"Brunei",80669.0,84001.0,88312,84019,81806,62922,56638,60282,59953,61028
26,"Bulgaria",14794.0,15792.0,16376,16692,17670,18459,20146,21617,22890,24409
27,"Burkina Faso",1502.0,1587.0,1619,1683,1692,1714,1895,2044,2171,2270
28,"Burundi",656.0,675.0,685,735,772,838,794,771,778,783
29,"Cape Verde",5583.0,5859.0,5720,5700,5659,5902,6224,6535,7703,8187
30,"Cambodia",2438.0,2636.0,2912,3110,3272,3501,3817,4101,4467,4834
31,"Cameroon",2814.0,2892.0,2959,3130,3313,3396,3527,3665,3803,3901
32,"Canada",40018.0,41716.0,42351,44360,45812,44703,46554,48688,50532,51653
33,"Central African Republic",967.0,1013.0,1102,738,720,787,851,913,956,985
34,"Chad",1821.0,1800.0,1736,1574,1684,1820,1682,1600,1627,1662
35,"Chile",18858.0,20224.0,21455,22300,22651,22552,22650,23656,24732,24917
36,"China",9160.0,10181.0,11137,11905,12496,12926,13432,14152,15410,16564
37,"Colombia",11009.0,11893.0,12306,13025,13627,13611,14352,14764,15235,15633
38,"Comoros",2261.0,2341.0,2510,2628,2701,2684,2826,2980,3078,3105
39,"Democratic Republic of the Congo",621.0,656.0,657,741,837,893,951,1047,1098,1130
40,"Republic of the Congo",6252.0,6364.0,7437,7123,6959,5445,4484,4987,4740,4687
41,"Costa Rica",12932.0,13606.0,14368,15035,16077,17080,18503,19712,20480,21127
42,"Ivory Coast",3489.0,3303.0,3563,3834,4237,4558,4629,4730,5045,5317
43,"Croatia",20536.0,21013.0,21395,22080,22327,23305,25211,27129,28842,30552
44,"Cyprus",33765.0,33755.0,31906,30237,29887,31848,35852,38516,41227,43593
45,"Czech Republic",28010.0,29027.0,29270,30813,32542,33933,36137,39031,41129,42972
46,"Denmark",43204.0,44483.0,44893,46829,48040,49265,52160,55673,57812,59469
47,"Djibouti",3589.0,3869.0,3958,4104,4289,4563,4695,4905,5181,5482
48,"Dominica",10038.0,10336.0,10158,10344,11015,11140,11962,11666,12361,12775
49,"Dominican Republic",11672.0,12158.0,12208,12818,13859,15186,16626,17301,18773,19896
50,"Ecuador",9091.0,9843.0,10280,11106,11658,11015,11009,11624,11880,11923
51,"Egypt",10531.0,10694.0,11620,11726,11498,12268,12072,11756,12390,13063
52,"El Salvador",6128.0,6466.0,6541,6877,7233,7598,8039,8454,8820,9149
53,"Equatorial Guinea",32711.0,34024.0,37303,34531,33483,23903,20353,22450,20795,19327
54,"Eritrea",1284.0,1625.0,1669,1507,1992,1589,1701,1537,1759,1835
55,"Estonia",22360.0,24557.0,25996,27465,28928,29184,31310,33903,35901,37770
56,"Eswatini",7951.0,8239.0,8450,8901,8997,9024,8932,8651,8978,9294
57,"Ethiopia",1085.0,1214.0,1315,1408,1681,1862,2134,2321,2520,2752
58,"Fiji",8679.0,9056.0,9660,10379,11358,12401,12563,13317,14076,14166
59,"Finland",39357.0,41016.0,40969,41587,41836,42570,44995,47622,49227,50677
60,"France",37358.0,38790.0,39037,40952,41576,42289,44422,46370,48190,49782
61,"Gabon",14967.0,15763.0,15487,15235,15500,14834,14490,15303,15586,16267
62,"Gambia",2435.0,2216.0,2200,2121,2027,2067,2069,2073,2210,2319
63,"Georgia",7542.0,8322.0,9799,10610,11583,12100,12855,13596,14582,15608
64,"Germany",40101.0,42541.0,43359,44994,47011,47622,50574,53374,55021,56468
65,"Ghana",4071.0,4623.0,5152,5321,5595,5233,5021,5148,5481,5822
66,"Greece",27954.0,25629.0,24818,25896,26541,26676,27489,28518,29761,30888
67,"Grenada",10865.0,11117.0,11164,11887,13042,14152,15026,16218,17240,17580
68,"Guatemala",6511.0,6794.0,7018,7183,7458,7849,7847,7912,8210,8519
69,"Guinea",1550.0,1628.0,1615,1680,1671,1685,1928,2250,2390,2507
70,"Guinea-Bissau",1469.0,1586.0,1513,1530,1576,1874,1976,2253,2343,2438
71,"Guyana",8357.0,8958.0,10444,10998,10943,11205,11268,11965,12723,13603
72,"Haiti",2619.0,2765.0,2719,2902,2911,2841,3018,3080,3159,3116
73,"Honduras",3779.0,3928.0,4033,4142,4453,4823,5146,5558,5807,5963
74,"Hong Kong",48996.0,51999.0,52082,53454,54605,56267,56903,59668,62221,61999
75,"Hungary",22010.0,22967.0,23179,24459,25615,26749,27899,29838,32254,34344
76,"Iceland",39548.0,41009.0,42154,44673,46239,49471,53943,56945,59383,60424
77,"India",4182.0,4494.0,4861,5057,5234,5465,5840,6183,6670,6972
78,"Indonesia",8657.0,9213.0,9834,10188,10399,10359,10619,11074,11798,12482
79,"Iran",18649.0,19283.0,17041,16238,16106,14328,15282,15806,15690,15295
80,"Iraq",12217.0,13075.0,14843,15414,14027,10494,9597,10916,11401,11968
81,"Ireland",43919.0,45041.0,46335,47773,51032,68918,71291,78002,85607,90697
82,"Israel",29469.0,31173.0,32336,34755,34756,35877,38230,39534,41320,42977
83,"Italy",35416.0,36251.0,36143,36289,36461,37176,40231,42112,43610,44703
84,"Jamaica",8263.0,8531.0,8586,8895,9047,9347,9818,10287,10705,10990
85,"Japan",35535.0,36215.0,37629,39437,39604,40959,40641,41409,42755,43459
86,"Jordan",9461.0,9403.0,9189,9322,9181,9465,9446,10003,10252,10496
87,"Kazakhstan",19071.0,20634.0,21878,24326,24546,23057,23654,24699,25985,27290
88,"Kenya",2839.0,2977.0,3107,3406,3698,4072,4353,4650,4912,5134
89,"Kiribati",1537.0,1569.0,1655,1729,1718,1880,1863,1867,1983,1977
90,"South Korea",30988.0,32547.0,33557,34244,35325,37908,39567,41001,43014,44611
91,"Kosovo",7234.0,7829.0,8002,8372,8687,9445,9974,10393,11021,11841
92,"Kuwait",61770.0,66970.0,72736,70727,64038,43308,40844,46480,46813,45852
93,"Kyrgyzstan",3103.0,3320.0,3654,4083,4326,4259,4728,5094,5296,5522
94,"Laos",3918.0,4252.0,4842,5289,5874,6168,6844,7255,7774,8157
95,"Latvia",17858.0,19110.0,21181,22514,23724,24872,26591,28571,30669,32233
96,"Lebanon",14963.0,14669.0,14813,14967,15017,15065,15462,15954,15933,15105
97,"Lesotho",2268.0,2416.0,2454,2749,2992,3211,3101,2753,2792,2823
98,"Liberia",1002.0,1067.0,1154,1329,1358,1257,1370,1532,1550,1501
99,"Libya",32515.0,16811.0,27459,23055,20274,21710,21521,23949,26207,23455
100,"Lithuania",20670.0,22885.0,24704,26722,28184,28842,30922,33827,36363,38809
101,"Luxembourg",94559.0,95683.0,97749,102120,106564,109154,114498,116621,119507,123206
102,"Macau",97052.0,119403.0,129876,145947,141807,108260,109178,120249,128272,125002
103,"Madagascar",1602.0,1613.0,1591,1592,1609,1595,1652,1625,1667,1715
104,"Malawi",1331.0,1385.0,1348,1445,1406,1333,1347,1357,1410,1471
105,"Malaysia",20526.0,21702.0,22963,23225,24273,24074,24780,25897,27491,29092
106,"Maldives",14528.0,15835.0,16436,18250,20338,21931,23410,24927,27141,29040
107,"Mali",1787.0,1827.0,1764,1813,1915,2033,2189,2247,2338,2420
108,"Malta",28405.0,29063.0,30424,32560,34755,37922,40137,44884,47211,49058
109,"Marshall Islands",2961.0,2990.0,2968,3126,3140,3209,3275,3434,3610,3911
110,"Mauritania",4549.0,4716.0,4755,5099,4662,4586,5159,5636,5912,6206
111,"Mauritius",15700.0,16653.0,16964,17866,18484,19226,20701,21415,22733,23839
112,"Mexico",15879.0,16567.0,17213,17429,18120,18382,19422,19934,20644,20764
113,"Federated States of Micronesia",2879.0,3027.0,3021,2955,2936,3097,3151,3291,3371,3466
114,"Moldova",6370.0,6882.0,7329,8345,8789,9222,10527,11362,12330,13238
115,"Mongolia",7470.0,8782.0,10074,10375,10850,10442,10519,11137,12056,12730
116,"Montenegro",13753.0,14472.0,13864,14870,15371,16336,18198,19703,21205,22469
117,"Morocco",6990.0,7418.0,7421,7674,7352,7905,7944,8193,8556,8868
118,"Mozambique",959.0,1023.0,1036,1085,1139,1291,1364,1284,1324,1339
119,"Myanmar",3095.0,3308.0,3697,3941,4130,4224,4141,4333,4684,5053
120,"Namibia",8515.0,9000.0,9512,9901,10633,10793,10578,10317,10477,10380
121,"Nauru",4893.0,5474.0,5981,7642,9043,8975,8927,8342,9197,9856
122,"Nepal",2165.0,2283.0,2505,2702,2947,2996,2990,3565,3864,4120
123,"Netherlands",45274.0,46703.0,47342,49314,49338,50419,52441,55509,57840,59675
124,"New Zealand",31387.0,32375.0,32733,35470,36995,36985,39266,40937,42583,43841
125,"Nicaragua",3969.0,4254.0,4347,4539,4879,5240,5651,5973,5849,5669
126,"Niger",1061.0,1066.0,1156,1125,1139,1145,1148,1164,1229,1276
127,"Nigeria",4766.0,4968.0,5000,5225,5507,5426,5235,5190,5278,5352
128,"North Macedonia",11197.0,11683.0,11909,12717,13424,13885,15128,15640,16461,17418
129,"Norway",60774.0,61828.0,65101,66742,65647,60190,58736,62782,64590,65830
130,"Oman",51191.0,48921.0,49100,47045,44764,36735,33678,34082,35025,35125
131,"Pakistan",4386.0,4545.0,4578,4679,4838,4999,5049,5159,5482,5641
132,"Palau",10951.0,11942.0,12667,12815,13707,14756,14952,14695,15045,15338
133,"Panama",15076.0,16845.0,18596,20727,22827,25275,27829,30511,31919,32982
134,"Papua New Guinea",2892.0,2830.0,2862,2959,3350,3532,3686,3809,3810,3969
135,"Paraguay",9974.0,10455.0,9957,10980,11355,11373,11907,12434,12954,12949
136,"Peru",9542.0,10239.0,10567,11115,11356,11454,12020,12632,13307,13430
137,"Philippines",5677.0,5919.0,6360,6688,7045,7278,7789,8199,8793,9363
138,"Poland",21370.0,22828.0,23745,24553,25471,26856,28321,30162,32532,34689
139,"Portugal",26638.0,26769.0,26438,27936,28742,29669,31604,33086,34898,36466
140,"Puerto Rico",30929.0,31824.0,32583,33173,33683,34007,34300,34627,35044,36201
141,"Qatar",145599.0,163740.0,169698,161194,143222,97846,84269,91743,93869,94864
142,"Romania",17079.0,17851.0,18834,19746,20612,21547,24197,27220,29282,31226
143,"Russia",21272.0,22784.0,24279,26045,25731,24062,24104,25999,27386,28495
144,"Rwanda",1355.0,1464.0,1496,1559,1720,1816,1910,2005,2176,2369
145,"Samoa",4743.0,4987.0,4848,4897,4982,5190,5631,5794,5873,6214
146,"San Marino",63060.0,58184.0,54797,53898,55875,56138,58103,59522,61531,63606
147,"São Tomé and Príncipe",2966.0,3090.0,3042,3409,3912,3905,3952,3975,4093,4178
148,"Saudi Arabia",51270.0,55918.0,57284,56016,56786,49637,46423,48015,49190,49056
149,"Senegal",2653.0,2670.0,2739,2742,2831,2971,3076,3204,3389,3510
150,"Serbia",13095.0,13742.0,13929,14624,14657,14932,15856,16621,17881,19041
151,"Seychelles",18914.0,20948.0,21565,22369,24683,24813,27077,28531,29817,30991
152,"Sierra Leone",1134.0,1203.0,1405,1747,1788,1599,1678,1634,1694,1777
153,"Singapore",75390.0,80052.0,82065,83002,84423,86975,89437,95310,100686,102431
154,"Slovakia",24992.0,26175.0,26905,27929,28944,29986,29668,30901,32793,34203
155,"Slovenia",28181.0,28969.0,29066,29990,30883,31647,33947,36680,39211,41011
156,"Solomon Islands",1946.0,2077.0,2089,2177,2184,2183,2266,2318,2376,2399
157,"Somalia","","",960,870,999,1162,1218,1158,1195,1216
158,"South Africa",12885.0,13362.0,13191,13591,13595,13697,13738,13839,14176,14268
159,"South Sudan","",3101.0,1341,1578,1508,1362,1028,889,864,860
160,"Spain",31597.0,31872.0,31725,32453,33544,34939,37310,39626,41328,42600
161,"Sri Lanka",8483.0,9347.0,10619,11244,11707,12208,13057,13584,14082,14215
162,"Saint Kitts and Nevis",21570.0,22133.0,21039,21859,23555,23424,24378,25341,26369,27846
163,"Saint Lucia",13048.0,13828.0,13604,13985,14166,13924,14634,15236,15924,16002
164,"Saint Vincent and the Grenadines",10659.0,10802.0,10941,11482,11891,12035,13012,13030,13738,14029
165,"Sudan",4282.0,5198.0,3929,3935,4509,4438,5569,4705,4572,4408
166,"Suriname",14453.0,15363.0,16890,17909,18301,16963,14778,17880,18994,19288
167,"Sweden",42499.0,44450.0,45259,46099,46937,48858,50062,52413,54124,55656
168,"Switzerland",56158.0,57786.0,59749,62058,63807,65612,67686,68914,72033,73644
169,"Syria",6374.0,6374.0,6374,6374,6374,6374,6374,6374,6374,6374
170,"Taiwan",38404.0,40533.0,41741,43435,45494,46911,47272,48501,51005,53476
171,"Tajikistan",2294.0,2459.0,2709,3004,3304,2958,3089,3238,3494,3744
172,"Tanzania",2067.0,2210.0,2099,2195,2243,2348,2479,2528,2687,2840
173,"Thailand",13197.0,13519.0,14871,15408,15480,15822,16616,17423,18534,19217
174,"Timor-Leste",1939.0,2060.0,2346,2483,2721,2913,3131,3177,3168,3780
175,"Togo",1544.0,1633.0,1656,1721,1792,1885,1954,2012,2110,2211
176,"Tonga",4135.0,4488.0,4608,4729,4940,5075,5518,5813,5974,6131
177,"Trinidad and Tobago",30928.0,31321.0,30085,30088,29727,27652,26375,27278,27617,27960
178,"Tunisia",10679.0,10557.0,10692,10710,10945,10735,10898,11138,11568,11814
179,"Turkey",17376.0,19460.0,20504,22221,23946,25691,26514,28242,29346,29688
180,"Turkmenistan",15034.0,17027.0,17096,16673,17210,16850,16038,17512,17900,17102
181,"Tuvalu",2880.0,3120.0,3009,3186,3287,3617,3812,4104,4252,4909
182,"Uganda",2416.0,2570.0,2373,2395,2441,2406,2359,2384,2498,2673
183,"Ukraine",8296.0,8959.0,9389,10749,10804,10225,11216,11943,12725,13447
184,"United Arab Emirates",67135.0,72144.0,74088,74734,77094,67254,65651,68504,70502,73142
185,"United Kingdom",36379.0,37364.0,38511,40233,41584,42928,44606,46553,48164,49576
186,"United States",48586.0,50008.0,51737,53246,55084,56730,57840,59886,62770,65052
187,"Uruguay",18070.0,19307.0,19489,20475,21492,21614,22093,22637,23204,23617
188,"Uzbekistan",5580.0,5888.0,6107,6355,6551,6740,6856,6898,7319,7733
189,"Vanuatu",2357.0,2426.0,2440,2438,2504,2481,2586,2739,2821,2898
190,"Venezuela",16693.0,17494.0,18553,18862,18209,17014,14213,12322,10676,8167
191,"Vietnam",5357.0,5826.0,6400,6763,7281,7635,8316,9086,9867,10559
192,"Palestine",3698.0,4035.0,4720,4826,5192,5612,5945,6025,6089,6128
193,"Yemen",4083.0,3541.0,3430,3627,3593,2548,2276,2150,2167,2186
194,"Zambia",3108.0,3250.0,3348,3504,3467,3360,3333,3407,3520,3526
195,"Zimbabwe",1884.0,2175.0,2386,2546,2577,2643,2668,2312,2444,2294
